Name,Type,Asset,ID,Lots,Open,Close,Entry,Exit,Profit,Roll,ExitType
H1,Short,EUR/USD,3592973,1,2012-12-04 06:00,2012-12-04 18:00,1.30540,1.30927,-3.87,0.00,Reverse
H1,Short,SPX500,3592872,1,2012-12-04 05:00,2012-12-04 18:00,1405.40,1406.10,-0.61,0.00,Reverse
H1,Long,USD/JPY,3592770,1,2012-12-04 04:00,2012-12-04 23:00,82.1320,81.8980,-1.71,0.00,Reverse
H1,Long,EUR/USD,3594174,1,2012-12-04 18:00,2012-12-05 05:00,1.30927,1.31167,2.40,0.00,Reverse
H1,Long,SPX500,3594175,1,2012-12-04 18:00,2012-12-05 06:00,1406.10,1412.60,5.66,0.00,Reverse
H1,Short,EUR/USD,3595277,1,2012-12-05 05:00,2012-12-05 12:00,1.31167,1.30787,3.80,0.00,Reverse
H4,Long,SPX500,3590461,1,2012-12-03 05:00,2012-12-05 13:00,1419.40,1412.10,-6.36,0.00,Reverse
H1,Short,SPX500,3595378,1,2012-12-05 06:00,2012-12-05 15:00,1412.60,1407.40,4.53,0.00,Reverse
H4,Long,USD/JPY,3591265,1,2012-12-03 13:00,2012-12-05 17:00,82.2550,82.4100,1.14,0.00,Reverse
H1,Long,EUR/USD,3595979,1,2012-12-05 12:00,2012-12-05 19:00,1.30787,1.30818,0.31,0.00,Reverse
H1,Long,SPX500,3596281,1,2012-12-05 15:00,2012-12-05 21:00,1407.40,1410.40,2.61,0.00,Reverse
H1,Short,SPX500,3596884,1,2012-12-05 21:00,2012-12-06 00:00,1410.40,1409.60,0.70,0.00,Reverse
H1,Short,EUR/USD,3596683,1,2012-12-05 19:00,2012-12-06 03:00,1.30818,1.30582,2.36,0.00,Reverse
H1,Long,SPX500,3597185,1,2012-12-06 00:00,2012-12-06 08:00,1409.60,1406.60,-2.61,0.00,Reverse
H1,Long,EUR/USD,3597486,1,2012-12-06 03:00,2012-12-06 10:00,1.30582,1.30785,2.03,0.00,Reverse
